,Mkt-RF,SMB,HML,RMW,CMA,RF,
1977-03-01,-1.94,1.11,0.52,-0.13,-0.19,0.35,
1977-04-01,-1.37,1.29,1.06,-0.32,-0.09,0.38,
1977-05-01,0.15,0.6,3.44,-2.05,1.14,0.38,
1977-06-01,-1.45,1.28,0.84,0.33,0.11,0.37,
1977-07-01,4.71,2.08,-0.68,0.88,-1.22,0.4,
1977-08-01,-1.69,1.82,-0.6,0.83,0.01,0.42,
1977-09-01,-1.75,0.89,-2.76,0.96,-0.62,0.44,
1977-10-01,-0.27,1.56,-0.51,1.23,-0.84,0.43,
1977-11-01,-4.38,1.5,1.73,-0.3,-0.46,0.49,
1977-12-01,4,3.62,0.29,-0.05,0.65,0.5,
1978-01-01,0.27,1.61,-0.38,0.94,-0.65,0.49,
1978-02-01,-6.01,2.69,3.31,-1.67,1.53,0.49,
1978-03-01,-1.38,3.67,0.71,0.36,1.04,0.46,
1978-04-01,2.85,3.72,1.23,-0.6,1.88,0.53,
1978-05-01,7.88,-0.31,-3.56,2.82,-1.35,0.54,
1978-06-01,1.76,4.56,-0.59,0.27,0.36,0.51,
1978-07-01,-1.69,1.59,0.55,-1.44,-0.02,0.54,
1978-08-01,5.11,0.15,-1.08,1.58,-0.78,0.56,
1978-09-01,3.75,4.93,-0.57,1.39,0.42,0.56,
1978-10-01,-1.43,-0.29,1.87,-0.68,1.8,0.62,
1978-11-01,-11.91,-10.05,1.4,0.17,1.03,0.68,
1978-12-01,2.71,2.84,-2.19,1.09,-1.21,0.7,
1979-01-01,0.88,1.08,-2.17,1.96,-1.38,0.78,
1979-02-01,4.23,3.84,2.29,-2.5,1.57,0.77,
1979-03-01,-3.56,0.55,1.16,-1.14,1.04,0.73,
1979-04-01,5.68,3.16,-0.69,0.62,0.28,0.81,
1979-05-01,-0.06,2.4,1,1.05,0.21,0.8,
1979-06-01,-2.21,0.15,1.3,-1.39,-0.35,0.82,
1979-07-01,3.85,0.99,1.45,-1.61,-0.45,0.81,
1979-08-01,0.82,1.24,1.75,-0.2,0.59,0.77,
1979-09-01,5.53,1.98,-1.52,1.58,-1.45,0.77,
1979-10-01,-0.82,-0.27,-0.87,1.02,0.54,0.83,
1979-11-01,-8.1,-3.46,-1.81,1.04,0.24,0.87,
1979-12-01,5.21,2.44,-3.38,0.11,-2,0.99,
1980-01-01,1.79,4.35,-2.04,-0.67,-1.01,0.95,
1980-02-01,5.51,1.9,1.72,-1.67,2.01,0.8,
1980-03-01,-1.22,-1.5,0.66,0.11,3.03,0.89,
1980-04-01,-12.9,-6.97,-1.02,1.38,-1.34,1.21,
1980-05-01,3.97,1,1.01,-2.09,0.54,1.26,
1980-06-01,5.26,2.1,0.38,0.31,-0.47,0.81,
1980-07-01,3.06,1.47,-0.85,-0.09,-0.95,0.61,
1980-08-01,6.49,3.93,-6.29,3.94,-2.46,0.53,
1980-09-01,1.8,4.26,-2.64,2.1,-0.8,0.64,
1980-10-01,2.19,0.58,-4.77,2.03,-2.81,0.75,
1980-11-01,1.06,2.33,-2.77,1.67,-1.22,0.95,
1980-12-01,9.59,-3.41,-8.36,4.53,-5.74,0.96,
1981-01-01,-4.52,-0.3,2.73,-1.25,1.18,1.31,
1981-02-01,-5.04,3.38,6.83,-3.54,4.35,1.04,
1981-03-01,0.57,-0.49,1,0.19,2.25,1.07,
