,Mkt-RF,SMB,HML,RMW,CMA,RF
202006,2.46,1.94,-2.35,0.03,0.34,0.01
202007,5.77,-3.03,-1.39,0.55,1.06,0.01
202008,7.63,-0.94,-2.94,4.27,-1.44,0.01
202009,-3.63,0.07,-2.51,-1.15,-1.77,0.01
202010,-2.1,4.76,4.03,-0.6,-0.53,0.01
202011,12.47,6.75,2.11,-2.78,1.05,0.01
202012,4.63,4.67,-1.36,-2.15,0,0.01
202101,-0.03,6.88,2.85,-3.33,4.68,0
202102,2.78,4.51,7.08,0.09,-1.97,0
202103,3.08,-0.97,7.4,6.43,3.44,0
202104,4.93,-3.06,-0.74,2.26,-2.71,0
202105,0.29,1.26,7.05,2.37,3.2,0
